ANO;UF;SEXO;FE_0_17_ANOS;FE_10_14_ANOS;FE_15_17_ANOS;FE_ADULTO
2011;RO;M;270808;11032;50208;534987
2011;RO;F;259071;12903;46462;536634
2011;AC;M;154967;8306;29636;227428
2011;AC;F;149112;6418;28883;237798
2011;AM;M;714821;32420;154712;1096796
2011;AM;F;682406;27925;146040;1135619
2011;RR;M;88003;5031;18224;153591
2011;RR;F;82798;4518;15961;153078
2011;PA;M;1451774;64281;308635;2505332
2011;PA;F;1380350;53744;274686;2540869
2011;AP;M;145151;6242;30048;211243
2011;AP;F;130131;6242;22190;224206
2011;TO;M;249338;12395;45929;469281
2011;TO;F;230871;11910;37910;482408
2011;MA;M;1292691;65751;277756;2029238
2011;MA;F;1239547;62054;259274;2210954
2011;PI;M;563263;21490;109150;989748
2011;PI;F;504471;18661;98417;1119762
2011;CE;M;1377764;55136;256057;2802164
2011;CE;F;1302647;63039;236226;3188511
2011;RN;M;485936;21570;93473;1077936
2011;RN;F;484737;19771;82090;1203168
2011;PB;M;566420;19275;111915;1250352
2011;PB;F;543402;16788;107556;1475433
2011;PE;M;1405345;46700;277262;2897715
2011;PE;F;1333092;53135;269650;3348257
2011;AL;M;574823;20715;100109;962640
2011;AL;F;556424;24164;94351;1090372
2011;SE;M;339514;15890;68621;685849
2011;SE;F;318546;11557;67536;784804
2011;BA;M;2246836;100609;422543;4623482
2011;BA;F;2218037;84782;426664;5132263
2011;MG;M;2740551;130091;541275;6975581
2011;MG;F;2645932;107455;495834;7600421
2011;ES;M;501132;22738;92445;1247261
2011;ES;F;484970;20204;106588;1371004
2011;RJ;M;2058222;90648;358187;5586405
2011;RJ;F;2100601;101110;381090;6586905
2011;SP;M;5468391;259966;1022798;14978403
2011;SP;F;5203452;236729;1009559;16517367
2011;PR;M;1474603;71733;264223;3733166
2011;PR;F;1409464;57264;272919;4015890
2011;SC;M;839679;43049;157602;2350862
2011;SC;F;814511;37743;162907;2434337
2011;RS;M;1422389;70472;281613;3797112
2011;RS;F;1355136;61918;261017;4227633
2011;MS;M;373321;20106;74507;862532
2011;MS;F;362672;20501;67809;929919
2011;MT;M;497618;26461;93032;1101089
2011;MT;F;453234;18353;90907;1096798
2011;GO;M;849975;41586;172577;2161898
2011;GO;F;884899;42414;181304;2321194
2011;DF;M;374006;16887;82910;899367
2011;DF;F;369710;22108;75850;1038174
2012;RO;M;267625;13006;55992;552903
2012;RO;F;248583;13239;49483;546633
2012;AC;M;158583;9329;32552;236660
2012;AC;F;142055;5903;30280;245027
2012;AM;M;714483;30709;145239;1144090
2012;AM;F;668344;31046;147550;1155794
2012;RR;M;93585;4374;18365;152344
2012;RR;F;90245;4722;14687;151126
2012;PA;M;1458083;71416;296953;2570965
2012;PA;F;1331572;49430;282769;2625992
2012;AP;M;147462;5414;28311;208751
2012;AP;F;142058;6154;24125;227471
2012;TO;M;243948;10805;48024;474702
2012;TO;F;239612;8645;47295;491283
2012;MA;M;1285959;59870;259157;2121067
2012;MA;F;1232209;46987;269780;2205197
2012;PI;M;492951;24365;103689;1038076
2012;PI;F;509425;22096;99162;1158243
2012;CE;M;1303013;51903;248821;2916377
2012;CE;F;1341572;55025;254736;3189789
2012;RN;M;483844;22376;91318;1135215
2012;RN;F;442720;22982;92537;1220504
2012;PB;M;574067;19562;115546;1260634
2012;PB;F;560025;23845;117384;1466044
2012;PE;M;1429200;56108;275936;2904274
2012;PE;F;1287506;56384;251497;3431904
2012;AL;M;542139;21185;110670;1007732
2012;AL;F;538024;23543;95366;1119589
2012;SE;M;339261;14957;69346;689401
2012;SE;F;331109;13597;67989;791049
2012;BA;M;2236271;109534;411993;4733505
2012;BA;F;2081542;83446;395661;5243508
2012;MG;M;2775254;118714;510345;7106508
2012;MG;F;2626790;135206;459366;7586948
2012;ES;M;526676;19331;93011;1268030
2012;ES;F;443575;17766;81495;1398661
2012;RJ;M;2139472;94366;410161;5675007
2012;RJ;F;1986121;93688;381856;6656195
2012;SP;M;5350135;263049;1057007;15082702
2012;SP;F;5280849;276446;993837;16783753
2012;PR;M;1453192;69046;300098;3779596
2012;PR;F;1376933;67472;250673;4092102
2012;SC;M;840976;34409;180315;2342649
2012;SC;F;816883;35784;151405;2508441
2012;RS;M;1383238;56492;259838;3892882
2012;RS;F;1302556;54847;237470;4263063
2012;MS;M;364676;20934;70758;906085
2012;MS;F;345408;16330;82063;941208
2012;MT;M;501284;20839;91676;1111263
2012;MT;F;474604;22502;99179;1102975
2012;GO;M;881298;49531;170279;2216139
2012;GO;F;850195;36429;173579;2348350
2012;DF;M;388873;19160;81027;909375
2012;DF;F;368278;16842;76096;1055206
2013;RO;M;277510;15344;50632;601060
2013;RO;F;254619;10221;47707;600076
2013;AC;M;150523;5753;29973;237271
2013;AC;F;149628;7314;31348;242150
2013;AM;M;735772;30833;155325;1183733
2013;AM;F;692306;31712;144170;1211664
2013;RR;M;83614;4087;17393;164063
2013;RR;F;81500;3906;18117;162082
2013;PA;M;1402923;58911;263476;2606018
2013;PA;F;1319875;56603;263766;2661520
2013;AP;M;134817;5881;22256;234838
2013;AP;F;136100;4861;24307;233557
2013;TO;M;240656;11713;45699;487018
2013;TO;F;253735;13323;48222;501274
2013;MA;M;1267188;55757;241402;2101409
2013;MA;F;1215095;44762;239191;2218134
2013;PI;M;514596;22225;98585;1035457
2013;PI;F;488943;23362;101440;1147729
2013;CE;M;1324006;51553;243722;2937822
2013;CE;F;1259343;57989;225751;3277205
2013;RN;M;481204;23360;94106;1185292
2013;RN;F;458483;20022;96101;1257395
2013;PB;M;578307;26605;108950;1285174
2013;PB;F;557408;24066;119731;1498007
2013;PE;M;1334454;58875;258457;3044676
2013;PE;F;1314612;67140;267276;3529459
2013;AL;M;528478;27848;109570;1041229
2013;AL;F;540572;19367;95048;1195521
2013;SE;M;343107;11207;67958;745889
2013;SE;F;308417;10482;55690;804126
2013;BA;M;2300328;96876;416457;5004561
2013;BA;F;2199379;102996;392580;5558413
2013;MG;M;2751236;121597;526873;7301904
2013;MG;F;2633948;117675;484112;7940497
2013;ES;M;535345;22291;107415;1350017
2013;ES;F;482205;21142;93686;1481416
2013;RJ;M;2000598;93620;381377;5677178
2013;RJ;F;1959618;85459;355059;6761419
2013;SP;M;5597685;280445;1109341;15622131
2013;SP;F;5282536;249154;1052261;17266803
2013;PR;M;1440890;59442;301662;3942412
2013;PR;F;1393643;81472;284502;4244595
