ANO,MES,UF,QTDE_DENUNCIAS
2011,JAN,AC,7
2011,FEV,AC,4
2011,MAR,AC,17
2011,ABR,AC,15
2011,MAI,AC,15
2011,JUN,AC,20
2011,JUL,AC,9
2011,AGO,AC,7
2011,SET,AC,10
2011,OUT,AC,13
2011,NOV,AC,12
2011,DEZ,AC,6
2011,JAN,AL,16
2011,FEV,AL,22
2011,MAR,AL,57
2011,ABR,AL,62
2011,MAI,AL,69
2011,JUN,AL,55
2011,JUL,AL,54
2011,AGO,AL,40
2011,SET,AL,35
2011,OUT,AL,40
2011,NOV,AL,60
2011,DEZ,AL,29
2011,JAN,AM,25
2011,FEV,AM,16
2011,MAR,AM,53
2011,ABR,AM,57
2011,MAI,AM,93
2011,JUN,AM,99
2011,JUL,AM,81
2011,AGO,AM,71
2011,SET,AM,84
2011,OUT,AM,74
2011,NOV,AM,61
2011,DEZ,AM,58
2011,JAN,AP,1
2011,FEV,AP,2
2011,MAR,AP,5
2011,ABR,AP,2
2011,MAI,AP,3
2011,JUN,AP,9
2011,JUL,AP,2
2011,AGO,AP,15
2011,SET,AP,3
2011,OUT,AP,7
2011,NOV,AP,5
2011,DEZ,AP,4
2011,JAN,BA,84
2011,FEV,BA,69
2011,MAR,BA,295
2011,ABR,BA,284
2011,MAI,BA,324
2011,JUN,BA,249
2011,JUL,BA,217
2011,AGO,BA,329
2011,SET,BA,220
2011,OUT,BA,352
2011,NOV,BA,249
2011,DEZ,BA,217
2011,JAN,CE,37
2011,FEV,CE,26
2011,MAR,CE,94
2011,ABR,CE,82
2011,MAI,CE,88
2011,JUN,CE,98
2011,JUL,CE,100
2011,AGO,CE,117
2011,SET,CE,92
2011,OUT,CE,89
2011,NOV,CE,102
2011,DEZ,CE,58
2011,JAN,DF,7
2011,FEV,DF,5
2011,MAR,DF,22
2011,ABR,DF,30
2011,MAI,DF,44
2011,JUN,DF,37
2011,JUL,DF,33
2011,AGO,DF,39
2011,SET,DF,39
2011,OUT,DF,55
2011,NOV,DF,47
