ANO,UF,SEXO_FEMININO,SEXO_MASCULINO,SEXO_NAO_INFORMADO,FE_12_14_ANOS,FE_15_17_ANOS,FE_18_24_ANOS,FE_25_30_ANOS,FE_31_35_ANOS,FE_36_40_ANOS,FE_41_45_ANOS,FE_46_50_ANOS,FE_51_55_ANOS,FE_56_60_ANOS,FE_61_65_ANOS,FE_66_70_ANOS,FE_71_75_ANOS,FE_76_80_ANOS,FE_81_85_ANOS,FE_86_90_ANOS,FE_91_MAIS,FE_NAO_INFORMADO,CR_AMARELA,CR_BRANCA,CR_INDIGENA,CR_NAO_INFORMADO,CR_PARDA,CR_PRETA
2011,AC,58,128,6,1,1,33,32,24,31,8,21,5,4,0,0,0,0,1,0,0,31,0,73,1,32,70,16
2011,AL,186,529,31,13,26,109,105,64,122,44,47,29,22,9,7,5,1,0,1,0,142,1,206,3,215,241,80
2011,AM,298,771,43,6,25,157,192,141,179,73,74,16,27,7,7,4,5,0,0,0,199,1,242,3,268,514,84
2011,AP,24,60,5,0,2,11,13,7,15,13,3,4,0,2,1,1,0,0,0,0,17,0,20,1,22,29,17
2011,BA,1035,2789,182,32,100,627,620,433,562,299,254,90,99,37,40,14,9,6,5,2,777,14,1022,17,1077,1267,609
2011,CE,407,994,74,14,47,210,256,187,178,108,98,35,48,25,19,6,1,0,0,0,243,5,390,1,352,524,203
2011,DF,179,390,32,10,12,82,84,73,82,38,28,10,19,11,5,3,0,0,2,0,142,2,141,3,191,209,55
2011,ES,195,418,16,11,14,76,134,61,87,40,31,14,19,11,4,3,1,1,0,0,122,4,167,0,167,199,92
2011,GO,237,717,46,5,15,116,216,142,133,61,52,24,29,14,8,5,0,0,0,0,180,5,336,2,247,297,113
2011,MA,481,1291,77,13,61,291,311,219,219,144,105,51,64,21,13,9,2,2,0,1,323,5,466,11,477,633,257
2011,MG,672,1904,143,58,179,330,417,297,359,203,152,79,67,26,24,16,3,2,3,0,504,10,849,8,714,822,316
2011,MS,131,383,26,7,19,77,77,90,69,38,32,21,17,3,6,1,1,0,0,0,82,2,160,2,127,176,73
2011,MT,123,342,14,2,13,63,86,74,58,35,29,14,9,3,3,2,2,0,0,0,86,2,124,0,122,186,45
2011,PA,320,924,44,16,34,180,242,143,174,88,72,33,39,15,12,3,3,0,2,1,231,2,367,2,297,483,137
2011,PB,198,605,60,2,32,95,161,112,130,56,52,18,24,1,10,5,2,1,1,0,161,4,252,0,246,260,101
2011,PE,393,1151,65,15,48,276,261,171,196,116,70,37,39,23,12,2,2,2,1,1,337,3,405,0,448,554,199
2011,PI,176,530,23,11,70,110,149,66,63,40,37,20,21,6,5,0,2,0,0,0,129,4,191,3,185,263,83
2011,PR,444,918,72,13,38,198,221,161,156,101,89,66,74,22,17,3,7,2,0,1,265,6,533,16,359,412,108
2011,RJ,880,1944,190,27,74,383,534,315,399,202,213,75,101,44,27,14,6,2,2,1,595,15,855,7,799,887,451
2011,RN,248,600,36,11,18,111,148,106,127,61,62,19,20,8,13,2,0,0,0,0,178,5,260,0,229,293,97
2011,RO,138,322,23,3,6,54,98,55,72,22,31,8,14,6,3,0,1,0,0,0,110,2,103,4,143,185,46
2011,RR,13,34,1,0,0,15,8,5,3,7,2,1,1,0,0,0,0,0,0,0,6,0,4,1,17,22,4
2011,RS,538,997,74,18,22,209,240,186,235,123,138,43,61,22,19,8,6,2,1,0,276,4,771,12,392,285,145
2011,SC,242,589,44,18,14,86,132,105,123,61,73,36,32,18,7,5,0,3,1,0,161,2,387,3,213,217,53
2011,SE,80,197,10,2,16,61,34,29,41,14,10,12,7,1,5,1,0,0,0,0,54,2,90,0,75,87,33
2011,SP,1004,2277,141,43,79,385,567,355,463,240,313,111,111,52,38,8,11,6,0,0,640,9,1200,8,866,947,392
2011,TO,72,156,12,4,7,27,61,30,30,10,7,4,3,1,2,0,0,0,0,0,54,3,78,0,62,73,24
2011,NA,1,21,0,0,0,6,3,1,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,20,1,1
2011,EX,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2012,AC,21,228,24,7,4,33,41,25,37,17,23,14,4,2,1,0,1,0,0,0,64,2,49,1,128,75,18
2012,AL,85,527,73,7,30,120,94,57,73,32,29,20,19,6,5,2,2,0,0,0,189,1,105,0,330,201,48
2012,AM,148,864,100,8,26,188,150,118,159,49,43,14,19,10,7,3,1,2,0,1,314,5,137,3,534,376,57
2012,AP,4,76,7,2,5,13,12,5,9,5,4,3,3,6,0,0,0,0,0,0,20,0,20,0,31,28,8
2012,BA,582,3354,443,61,120,781,750,388,420,246,191,103,87,42,30,17,10,2,0,0,1131,11,728,9,2042,1074,515
2012,CE,257,1447,225,17,129,457,360,121,133,81,53,30,33,18,14,2,1,1,0,0,479,3,407,2,940,465,112
2012,DF,225,902,140,14,28,158,153,105,134,67,69,32,27,11,12,1,2,1,0,0,453,2,211,0,658,301,95
2012,ES,89,434,93,5,14,90,94,60,61,39,28,18,13,11,4,1,2,0,1,0,175,1,101,0,289,167,58
2012,GO,160,1075,166,17,50,176,196,171,165,65,79,31,38,15,16,3,1,0,0,0,378,3,295,0,691,331,81
2012,MA,263,1450,196,22,83,378,281,155,177,96,93,43,46,23,15,5,4,1,0,0,487,6,323,2,940,520,118
