ANO,UF,SEXO_FEMININO,SEXO_MASCULINO,SEXO_NAO_INFORMADO,FE_0_3_ANOS,FE_12_14_ANOS,FE_15_17_ANOS,FE_4_7_ANOS,FE_8_11_ANOS,FE_NAO_INFORMADO,FE_NASCITURO,FE_RECEM_NASCIDO,CR_AMARELA,CR_BRANCA,CR_INDIGENA,CR_NAO_INFORMADO,CR_PARDA,CR_PRETA
2011,AC,139,33,6,9,62,48,10,39,10,0,0,0,56,3,42,67,10
2011,AL,548,97,21,32,220,209,64,111,29,1,0,3,168,1,157,280,57
2011,AM,787,171,40,52,339,204,106,236,61,0,0,1,242,2,232,461,60
2011,AP,62,8,5,2,24,28,7,12,2,0,0,0,26,0,17,24,8
2011,BA,2751,658,156,169,1233,732,418,818,193,0,2,12,934,18,859,1325,417
2011,CE,878,279,43,50,396,322,133,243,56,0,0,5,382,1,267,481,64
2011,DF,364,123,32,43,147,85,108,106,30,0,0,0,145,0,145,197,32
2011,ES,416,128,14,39,165,118,85,113,37,0,1,0,166,3,123,210,56
2011,GO,745,150,30,38,290,292,109,154,40,0,2,4,328,8,217,303,65
2011,MA,1253,304,72,63,610,363,172,335,86,0,0,11,474,7,374,626,137
2011,MG,1770,419,106,111,836,515,259,438,135,0,1,10,817,11,540,716,201
2011,MS,371,95,27,22,155,108,63,120,25,0,0,6,152,1,96,191,47
2011,MT,366,61,18,20,159,69,34,145,18,0,0,1,133,1,91,202,17
2011,PA,888,203,42,54,391,229,177,223,59,0,0,4,373,6,229,441,80
2011,PB,641,132,47,33,287,217,83,164,36,0,0,3,308,0,233,227,49
2011,PE,1140,260,47,86,551,330,152,249,79,0,0,5,424,8,364,502,144
2011,PI,506,89,14,19,225,177,56,112,20,0,0,3,141,0,132,251,82
2011,PR,933,310,75,84,437,273,211,252,61,0,0,7,546,9,320,392,44
2011,RJ,1972,588,138,187,823,515,413,612,148,0,0,11,781,11,648,934,313
2011,RN,566,173,42,35,275,174,97,154,46,0,0,1,228,3,186,304,59
2011,RO,351,70,20,30,159,85,47,97,23,0,0,1,121,2,115,178,24
2011,RR,39,5,1,1,16,9,8,10,1,0,0,0,5,2,13,24,1
2011,RS,970,330,63,85,440,317,186,262,73,0,0,1,671,8,333,254,96
2011,SC,605,192,30,55,277,122,134,198,40,0,1,2,396,1,217,178,33
2011,SE,170,68,7,5,96,53,36,43,12,0,0,1,95,0,60,68,21
2011,SP,2195,711,126,240,903,673,489,557,168,0,2,8,1209,7,719,878,211
2011,TO,171,46,6,7,73,46,27,63,7,0,0,2,67,1,60,74,19
2011,NA,21,1,1,2,4,12,0,3,2,0,0,1,0,0,21,1,0
2011,EX,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012,AC,265,35,19,12,136,62,24,64,21,0,0,0,55,2,120,128,14
2012,AL,555,127,89,60,224,182,86,144,72,0,3,3,161,0,342,230,35
2012,AM,899,217,104,70,428,264,127,206,122,0,3,6,217,8,500,436,53
2012,AP,84,14,9,4,41,18,15,14,15,0,0,0,20,0,42,42,3
2012,BA,3583,777,365,252,1565,1033,550,913,406,0,6,10,897,10,1885,1526,397
2012,CE,1518,322,184,89,638,644,195,305,148,0,5,4,546,0,810,593,71
2012,DF,1177,282,169,128,452,261,230,361,196,0,0,3,327,2,750,437,109
2012,ES,470,140,73,38,195,166,90,122,72,0,0,1,155,0,285,188,54
2012,GO,1304,253,161,72,499,390,185,414,153,0,5,3,416,2,696,502,99
2012,MA,1589,340,159,90,707,507,226,403,153,0,2,3,451,0,862,667,105
